Id,Name,Beer Full Name,Style,Brewery,Description,ABV,Min IBU,Max IBU,Rating,User Rating,User Comment
163,Colonel Blides Cask Ale,Cricket Hill Brewing Co. Colonel Blides Cask Ale,Bitter - English,Cricket Hill Brewing Co.,5.5% ABV31 IBU'S,5.5,20,35,3.829545,,
164,T.E.A. (Traditional English Ale),Hog's Back Brewery T.E.A. (Traditional English Ale),Bitter - English,Hog's Back Brewery,"An enticing amber colour with a hoppy and slightly fruity aroma. We use the finest English malt carefully balanced with local Fuggles hops. This is gently fermented to leave some of the natural malt sugars, to give a full and satisfying flavour with a long, dry finish.",4.2,20,35,3.538462,,
165,XB Bluebird Bitter,Coniston Brewing Co. Ltd XB Bluebird Bitter,Bitter - English,Coniston Brewing Co. Ltd,,4.4,20,35,3.59375,,
166,Pitchfork Rebellious Bitter,RCH Brewery Pitchfork Rebellious Bitter,Bitter - English,RCH Brewery,The name comes from the Pitchfork rebellion of 1685 the last battle to be fought on English soil of the Civil War.A golden bitter with floral citric hop aroma. It has a hoppy predominate taste which is slightly sweet and fruity and leaves you wanting more.,4.3,20,35,3.889831,,
167,HopHead,Dark Star Brewing Company Limited HopHead,Bitter - English,Dark Star Brewing Company Limited,An extremely clean-drinking pale golden ale with a strong floral aroma and elderflower notes from the Cascade hops. This beer is full-bodied and full-flavoured yet gentle enough to make it a favourite session beer.50 IBU,3.8,20,35,4.285714,,
168,Old Brewery BitterSamuel Smith Old Brewery (Tadcaster),Samuel Smith Old Brewery (Tadcaster) Samuel Smith's Old Brewery Bitter,Bitter - English,Samuel Smith Old Brewery (Tadcaster),,4.0,20,35,3.833333,,
169,Little Dog,Hair of the Dog Brewing Company / Brewery and Tasting Room Little Dog,Bitter - English,Hair of the Dog Brewing Company / Brewery and Tasting Room,"An experimental beer, moderately hopped and low alcohol. First made from second runnings of Doggie Claws 2010; subsequent releases of Fred or Adam second runnings.",3.5,20,35,3.821429,,
170,Best Bitter,St. Peter's Brewery Co Ltd St. Peter's Best Bitter,Bitter - English,St. Peter's Brewery Co Ltd,A traditional best bitter ale brewed wth Pale and Crystal malts and Goldings aroma hops. The result is a full-bodied ale with distinctive fruity caramel notes. Brewed with skill and patience in one of Britain's finest small breweries.,3.7,20,35,3.636364,,
171,Camerons Strongarm,Castle Eden & Camerons Brewing Company Ltd Camerons Strongarm,Bitter - English,Castle Eden & Camerons Brewing Company Ltd,,4.0,20,35,3.889831,,
172,HSB (Horndean Special Bitter),George Gale & Company Ltd HSB (Horndean Special Bitter),Bitter - English,George Gale & Company Ltd,,4.8,20,35,4.202703,,
173,St. Patrick's Best,Strangford Lough Brewing Company Ltd St. Patrick's Best,Bitter - English,Strangford Lough Brewing Company Ltd,,4.2,20,35,3.697674,,
174,Hooky Bitter,Hook Norton Brewery Co. Ltd. Hooky Bitter,Bitter - English,Hook Norton Brewery Co. Ltd.,,3.5,20,35,4.315789,,
175,West Bank Pub Ale,Minneapolis Town Hall Brewery West Bank Pub Ale,Bitter - English,Minneapolis Town Hall Brewery,British style pale ale featuring the the rich character of UK Golden Promise malt with a distinct finish from the use of British Fuggles and Golding hops.,4.8,20,35,3.988889,,
176,Adnams Bitter,"Adnams plc, Sole Bay Brewery Adnams Bitter",Bitter - English,"Adnams plc, Sole Bay Brewery",,4.1,20,35,3.852273,,
177,DeuS (Brut Des Flandres),Brouwerij Bosteels DeuS (Brut Des Flandres),Bière de Champagne / Bière Brut,Brouwerij Bosteels,"This extraordinary and sparkling ""DeUs, Brut des Flandres"", brewed with barley, is fermented and matured in Belgium, refermented in the bottle, followed but the traditional ""remuarge"" and ""dégorgement"" in France. Serve chilled (2 - 4º C) and pour gently into a chilled flute or chalice glass.",11.5,10,35,4.039792,,
178,Nelson Sauvignon (Nelson Sauvin Brut),Mikkeller ApS Nelson Sauvignon (Nelson Sauvin Brut),Bière de Champagne / Bière Brut,Mikkeller ApS,Aged in white wine barrels.,9.0,10,35,4.125,,
179,Malheur Bière Brut (Brut Reserve),Brouwerij De Landtsheer NV Malheur Bière Brut (Brut Reserve),Bière de Champagne / Bière Brut,Brouwerij De Landtsheer NV,,12.0,10,35,4.088235,,
180,Malheur Brut Noir (Black Chocolate),Brouwerij De Landtsheer NV Malheur Brut Noir (Black Chocolate),Bière de Champagne / Bière Brut,Brouwerij De Landtsheer NV,,12.0,10,35,4.069444,,
181,Krait Prestige,Cobra Beer Partnership Limited Krait Prestige,Bière de Champagne / Bière Brut,Cobra Beer Partnership Limited,,8.0,10,35,3.62766,,
182,Eisenbahn Lust,Cervejaria Sudbrack Ltda Eisenbahn Lust,Bière de Champagne / Bière Brut,Cervejaria Sudbrack Ltda,,11.5,10,35,3.695652,,
183,Šamp - Pivní Sekt,Pivovarský D&#367;m amp - Pivní Sekt,Bière de Champagne / Bière Brut,Pivovarský D&#367;m,"TWith addition of champagne style yeast, this beer ferments and ages for several weeks in bottles. It is an excellent welcome drink, aperitif, and/or beverage accompanying a dessert. It has been produced in cooperation with the brewery in the city of Strakonice (South Bohemia).",5.0,10,35,4.25,,
184,Eisenbahn Lust Prestige,Cervejaria Sudbrack Ltda Eisenbahn Lust Prestige,Bière de Champagne / Bière Brut,Cervejaria Sudbrack Ltda,,11.5,10,35,4.333333,,
185,Summer Love,Victory Brewing Company Summer Love,Blonde Ale - American,Victory Brewing Company,"CompositionMalt: imported 2 row German maltsHops: whole flower Tettnang Tettnang, Simcoe and Citra hopsABV: 5.2%FlavorWith the sublime, earthy familiarity of noble European hops backed up by fresh, clean German malts, Summer Love Ale ends with a surprising burst of lemony refreshment from fistfuls of American whole flower hops. Love Summer, now.",5.2,15,25,3.919598,,
186,Sweet Action,Sixpoint Brewery Sweet Action,Blonde Ale - American,Sixpoint Brewery,"Ever heard of Sweet Action...the magazine? That short-lived sensation sparked one of our first collaborations--the beer you hold in your hand. Our quest to classify SWEET ACTION has ended; it's a beer your brain can't categorize, but instead speaks directly to your palate. Our senses and intuition sometimes conquer rational thought. It's Mad Science.",5.0,15,25,4.032847,,
187,Big Wave Golden Ale,Kona Brewing Co. Big Wave Golden Ale,Blonde Ale - American,Kona Brewing Co.,"Big Wave is light golden ale with a subtle fruitiness and delicate hop aroma. A smooth, easy drinking refreshing ale. The lightly roasted honey malt contributes to the golden hue of this beer and also gives a slight sweetness that is balanced out by our special blend of hops.20 IBU",4.4,15,25,3.55,,
188,Twilight Summer Ale,Deschutes Brewery Twilight Ale,Blonde Ale - American,Deschutes Brewery,"Summer has its own rules. As luck would have it, it also has it's own beer. This clever golden-hued ale pours remarkably crisp and clean. A distinctive malt body complements a refreshing hop profile led by a heady dose of bold Amarillo hops. Enjoy.Malt: Pale, Carapils, Crystal, MunichHops: Sterling, Celeia, Cascade, Tettnang38 IBU",5.0,15,25,3.904459,,
189,Tire Bite Golden Ale,Flying Dog Brewery Tire Bite Golden Ale,Blonde Ale - American,Flying Dog Brewery,,5.1,15,25,3.225362,,
190,Export Ale,Shipyard Brewing Co. Shipyard Export Ale,Blonde Ale - American,Shipyard Brewing Co.,,5.1,15,25,3.489664,,
191,Fireman's #4,Real Ale Brewing Company Fireman's #4,Blonde Ale - American,Real Ale Brewing Company,,5.1,15,25,3.744755,,
192,India Pale Ale,Alexander Keith's India Pale Ale,Blonde Ale - American,Alexander Keith's,The pride of Nova Scotia.,5.0,15,25,3.015936,,
193,Samurai Ale,Great Divide Brewing Company Samurai Ale,Blonde Ale - American,Great Divide Brewing Company,"Samurai is the perfect beer for your zen garden after battle, or your patio after a long day of work. The addition of rice gives a slightly fruity, crisp, refreshing element to this hazy unfiltered ale, creating a light, easy-going beer suitable for the peaceful warrior. This may be your first Samurai, but it certainly won’t be your last.",5.1,15,25,3.696923,,
194,Bombshell Blonde,Southern Star Brewing Company Bombshell Blonde,Blonde Ale - American,Southern Star Brewing Company,"A rich, creamy golden colored ale fermented at a cool temperature to give a clean finish. Hints of yeasty bread and a touch of hops combine to make a beer that is truly more than the sum of its parts.20 IBUMalt: Rahr Special Pale, Wyermann ViennaHops: Saphir, SterlingYeast: California Ale",5.25,15,25,3.988439,,
195,Farmhouse Summer Ale,Flying Fish Brewing Company Farmhouse Summer Ale,Blonde Ale - American,Flying Fish Brewing Company,"A tribute to the highly drinkable ""every day"" beers from French-speaking Belgium. Contains Belgian two-row pale malt and 7% wheat. This beer is lightly filtered with an earthy, spicy hop character from imported Styrian Goldings hops and a beautiful rich creamy head from the wheat.",4.6,15,25,3.741758,,
196,Single Chair Golden Ale,Magic Hat Brewing Company Single Chair Ale,Blonde Ale - American,Magic Hat Brewing Company,"Single Chair celebrates the uniqueness of the Mad River Glen Cooperative Ski Area in Vermont. Medium bodied and ideally balanced for all tastes, Single Chair's tempting light golden color, heady aroma and smooth liquid go down effortlessly and often!17 IBU",5.0,15,25,3.575,,
197,Citra Blonde Summer Brew,Widmer Brothers Brewing Company Citra Summer Blonde Brew,Blonde Ale - American,Widmer Brothers Brewing Company,,4.3,15,25,3.692308,,
198,True Blonde Ale,Ska Brewing Co. True Blonde Ale,Blonde Ale - American,Ska Brewing Co.,"A Smooth and Sexy Brew.Like golden waves of yeast crashing on a golden beach of golden sand with golden taps spewing golden beer that’s smooth as gold.A Crisp Blonde Ale. Golden in color, medium in body—she’s brewed with the help and the honey of Durango’s Honeyville™ bees.SOUL MATESLight enough not to overwhelm tasty greens regardless of dressing. Works well with delicate fish. Pleasant accompaniment to lobster, clams, shrimp and crab – great w/ lobster bisque. Thirst quencher, works well with spicy/hot foods.The taste is mildly sweet from the use of local honey, followed by bready malts, a touch of tangy wheat, a pleasantly mild bitterness, and citrus hop flavors in the end.",5.3,15,25,3.568182,,
199,Prairie Path Ale,Two Brothers Brewing Company Prairie Path Ale,Blonde Ale - American,Two Brothers Brewing Company,,5.1,15,25,3.632743,,
200,Summer Ale,Blue Point Brewing Company Blue Point Summer Ale,Blonde Ale - American,Blue Point Brewing Company,"The delicious, refreshing taste of Summer Ale comes from a substantial portion of wheat malt added to a traditional barley malt mix which gives this delicious brew a unique tartness not found in many light ales these days. No surprise – this light, thirst-quenching brew is best enjoyed on hot summer days.",4.4,15,25,3.610619,,
201,Aud Blonde,Russian River Brewing Company Aud Blonde,Blonde Ale - American,Russian River Brewing Company,,4.5,15,25,4.147727,,
202,Gossamer Golden Ale,Half Acre Beer Company Gossamer Golden Ale,Blonde Ale - American,Half Acre Beer Company,,4.2,15,25,4.117347,,
203,Heavy Seas - Gold Ale,Heavy Seas Beer Heavy Seas - Gold Ale,Blonde Ale - American,Heavy Seas Beer,,4.5,15,25,3.602041,,
204,Sum'r Summer Ale,Uinta Brewing Company Sum'R,Blonde Ale - American,Uinta Brewing Company,"Citrusy and thirst-quenching, this refreshing golden ale is highlighted by the use of unique hops.17 IBU",4.0,15,25,3.770833,,
205,Summer Honey Ale,Big Sky Brewing Company Summer Honey Ale,Blonde Ale - American,Big Sky Brewing Company,"When the days get longer and the air gets warmer, we get outside quite a bit. And we build a big thirst. Summer Honey helps us shake off the winter and slakes our thirst for a refreshing brew. Summer Honey is a full-flavored summer seasonal ale. Brewed with a unique, balanced blend of spices, Northwest Hops, and Montana honey. Summer Honey is brewed during the early days of spring and released around the first of May each year. Light colored, light bodied, and very drinkable, Summer Honey sacrifices nothing to create a flavorful beer that can be enjoyed during the height of the Summer.",4.7,15,25,3.534722,,
206,Ballantine XXX Ale,Pabst Brewing Company Ballantine XXX Ale,Blonde Ale - American,Pabst Brewing Company,,4.85,15,25,3.38141,,
207,Molson Export,Molson Coors Canada Molson Export,Blonde Ale - American,Molson Coors Canada,"With over 100 years of brewing tradition behind it, Molson Export continues to grow in lore. Its history, however, could never be as rich without the original, high-quality ingredients that have come to distinguish it from other brands.We brew Molson Export with two-row barley, an exclusive strain of ale yeast that goes back to the origins of Molson Breweries, hand-selected Golding and Oregon hops and water.",5.0,15,25,3.398936,,
208,Lonely Blonde,Fulton Beer Lonely Blonde,Blonde Ale - American,Fulton Beer,"The Lonely Blonde wears a delicate fragrance of German noble hops, and slips a touch of white wheat between American pale and crystal malts for a smooth, sensuous body, fair complexion, and a pleasantly lacy white head. Crisp carbonation slinks the Lonely Blonde quickly away, and you’re left with nothing but a slight lingering sweetness as you contemplate how The Lonely Blonde can be so beautiful on so many levels.",4.8,15,25,3.5,,
209,Summer Blonde Ale,River Horse Brewing Co. River Horse Summer Blonde,Blonde Ale - American,River Horse Brewing Co.,"A light, refreshing Ale that is easy to drink yet complex. Perfect for the warmer months.",4.5,15,25,3.388889,,
210,Knockout Blonde,Lawson's Finest Liquids Knockout Blonde,Blonde Ale - American,Lawson's Finest Liquids,Our blonde ale packs a zippy punch of hop aroma! This brew features a flavorful blend of North American malts and is fully loaded with Cascade and Centennial hops.,5.0,15,25,4.347826,,
211,Blonde Ale,Thomas Hooker Brewing Company Thomas Hooker Blonde Ale,Blonde Ale - American,Thomas Hooker Brewing Company,Smooth flavor with a subtle malt sweetness accented with the delicate aroma of Czech hops. This brilliant gold ale is a mellow but flavorful microbrew.11 IBU,4.6,15,25,3.876866,,
212,Bare Ass Blonde Ale,DuClaw Brewing Company Bare Ass Blonde Ale,Blonde Ale - American,DuClaw Brewing Company,"Our smoothly drinkable little blonde bombshell will turn your head with its smooth, light malt flavor, mild hop character, 5% ABV, and crisp, refreshing, fruity finish.Style: Blonde AleColor: GoldenHop Variety: Fuggle, GoldingsGrains: Pale Malt, Wheat Malt, Carapils MaltPlato: 12.5IBU: 19",5.0,15,25,3.8,,
213,NOLA Blonde AleNew Orleans Lager & Ale Brewing Company (NOLA),New Orleans Lager & Ale Brewing Company (NOLA) NOLA Blonde Ale,Blonde Ale - American,New Orleans Lager & Ale Brewing Company (NOLA),"A great introductory craft beer, NOLA Blonde is a medium-bodied traditional American blonde ale - golden in color with floral and citrus hop aromas.",4.9,15,25,4.083333,,
214,Alamo Golden Ale,Alamo Beer Co. Alamo Golden Ale,Blonde Ale - American,Alamo Beer Co.,,5.1,15,25,3.690476,,
215,Golden Ale,Mayflower Brewing Company Mayflower Golden Ale,Blonde Ale - American,Mayflower Brewing Company,,4.7,15,25,3.991935,,
216,Leffe Blonde,Abbaye de Leffe S.A. Leffe Blonde,Blonde Ale - Belgian,Abbaye de Leffe S.A.,,6.6,15,30,3.64273,,
217,Affligem Blond,Brouwerij De Smedt / Brouwerij Affligem Affligem Blond,Blonde Ale - Belgian,Brouwerij De Smedt / Brouwerij Affligem,Affligem beers originate from the Belgian abbey founded in 1074. The citrus and tropical fruit notes followed by a malty softness and hoppy character combine to make Affligem Blonde a beautifully smooth beer with a lightly bitter finish.,6.8,15,30,3.943833,,
218,Trappist Westvleteren BlondBrouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren) Trappist Westvleteren Blonde,Blonde Ale - Belgian,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),(Green Cap),5.8,15,30,4.372222,,
219,Devotion,The Lost Abbey Devotion Ale,Blonde Ale - Belgian,The Lost Abbey,"Belgian Style dry hopped Blonde Ale. It’s an unassuming road leading to the priory. Here, off the corner of two intersecting roads, dedicated monks have been making beer for over 150 years. It’s always been a simple life — the kind that requires they brew only enough to sustain the activities of their monastery. In the silence of passing seasons, they pray, they brew and retire in solitary existence behind the sheltering walls. They live a most interesting life. Most likely one we couldn't sustain.Nearby, each summer, the trellised fields spring to life as rows of resinous green cones are trained toward the heavens. Rumor is some monks love these hops and being surrounded by budding yellow aromas and the leafy pungent fields inspired them. Since we aren't sensible enough to locate our brewery near hop fields, we can only offer this blond ale in celebration of our Abbey brethren and their steadfast Devotion.",6.0,15,30,3.964427,,
220,Grimbergen Blonde,Brouwerij Alken-Maes Grimbergen Blonde,Blonde Ale - Belgian,Brouwerij Alken-Maes,"The high quality raw materials make up the richness of this top-fermented beer, which is characterized by its ocher blonde color.Grimbergen Blonde is light fruity and balanced sweet-bitter. Due to its rounded flavor, this beer is highly appreciated.",6.7,15,30,3.812715,,
221,Maredsous 6 - Blonde,Brouwerij Duvel Moortgat NV Maredsous 6 - Blonde,Blonde Ale - Belgian,Brouwerij Duvel Moortgat NV,,6.0,15,30,3.892216,,
222,Saxo,Brasserie Caracole Saxo,Blonde Ale - Belgian,Brasserie Caracole,,8.0,15,30,4.004739,,
223,La Trappe Blond (Koningshoeven / Dominus),Bierbrouwerij De Koningshoeven B.V. La Trappe Blond (Koningshoeven / Dominus),Blonde Ale - Belgian,Bierbrouwerij De Koningshoeven B.V.,"This scintillating golden ale boasts a rich, fruity, and fresh aroma. And a light malty and sweet taste. It has a soft bitterness with a friendly aftertaste. A well-balanced blend of complexity and simplicity. La Trappe Blond continues to ferment in the bottle.",6.5,15,30,3.76259,,
224,Augustijn Blond,Brouwerij Van Steenberge N.V. Augustijn Blond,Blonde Ale - Belgian,Brouwerij Van Steenberge N.V.,,7.5,15,30,3.6875,,
225,Kasteel Blond,Brouwerij Van Honsebrouck N.V. Kasteel Blond,Blonde Ale - Belgian,Brouwerij Van Honsebrouck N.V.,,7.0,15,30,3.876667,,
226,Blond,Brasserie de l'Abbaye du Val-Dieu Val-Dieu Blond,Blonde Ale - Belgian,Brasserie de l'Abbaye du Val-Dieu,,6.0,15,30,3.984043,,
227,St. Feuillien Blonde,Brasserie St. Feuillien St. Feuillien Blonde,Blonde Ale - Belgian,Brasserie St. Feuillien,,7.5,15,30,3.93617,,
228,Bink Blond,Brouwerij Kerkom Bink Blond,Blonde Ale - Belgian,Brouwerij Kerkom,,5.5,15,30,3.816456,,
229,Blond,Brouwerij Hof Ten Dormaal Blond,Blonde Ale - Belgian,Brouwerij Hof Ten Dormaal,,8.0,15,30,3.945946,,
230,Tongerlo Blond,Brouwerij Haacht NV Tongerlo 6 Dubbel Blond,Blonde Ale - Belgian,Brouwerij Haacht NV,Formerly known as Tongerlo 6 Dubbel Blond,6.0,15,30,3.433333,,
231,Southside Blonde,Perennial Artisan Ales Southside Blonde,Blonde Ale - Belgian,Perennial Artisan Ales,Southside Blonde is a sessionable Belgian-Style Blonde Ale that is light-bodied and dry with a hint of fruitiness from the yeast. Southside is a friendly pairing with a variety of foods and an approachable choice for all types of beer drinkers.,5.5,15,30,3.833333,,
232,Belgian Blonde,BottleTree Beer Co. BottleTree Belgian Blonde,Blonde Ale - Belgian,BottleTree Beer Co.,,5.0,15,30,3.708333,,
233,La Binchoise Blonde TraditionBrasserie La Binchoise (Malterie des Remparts),Brasserie La Binchoise (Malterie des Remparts) La Binchoise Blonde Tradition,Blonde Ale - Belgian,Brasserie La Binchoise (Malterie des Remparts),,6.5,15,30,4.0,,
234,Brunehaut Blonde,Brasserie De Brunehaut Brunehaut Blonde,Blonde Ale - Belgian,Brasserie De Brunehaut,,6.5,15,30,3.555556,,
235,Steenbrugge Blond,Brouwerij Palm NV Steenbrugge Blond,Blonde Ale - Belgian,Brouwerij Palm NV,,6.5,15,30,3.552632,,
236,Abbaye De Floreffe Blonde,Brasserie Lefèbvre SA Abbaye De Floreffe Blonde,Blonde Ale - Belgian,Brasserie Lefèbvre SA,,6.3,15,30,3.823529,,
237,La Gauloise Blonde,Brasserie Du Bocq La Gauloise Blonde,Blonde Ale - Belgian,Brasserie Du Bocq,,6.3,15,30,3.714286,,
238,Valeir Blond,Brouwerij Contreras Valeir Blond,Blonde Ale - Belgian,Brouwerij Contreras,,6.5,15,30,3.975,,
239,Celestial Blonde Ale,Old Forge Brewing Company Celestial Blond Ale,Blonde Ale - Belgian,Old Forge Brewing Company,,7.0,15,30,3.75,,
240,'t Smisje Blond,Brouwerij Smisje 't Smisje Blond,Blonde Ale - Belgian,Brouwerij Smisje,,6.0,15,30,3.03125,,
241,De Koninck Blond,Brouwerij De Koninck NV De Koninck Blond,Blonde Ale - Belgian,Brouwerij De Koninck NV,,6.0,15,30,3.6125,,
242,Wendelinus Blonde,Brasserie Meteor Wendelinus,Blonde Ale - Belgian,Brasserie Meteor,"Another idea from the abbey...Brewed in the tradition of the monks of Wissembourg, who had their beer made on the current site of the brewery, Wendelinus is the result of a centuries-old know-how. Beneath its amber colour and creamy head is an abbey beer with a range of flavours that mature on the palate with every mouthful. Strong, with a pleasant touch of bitterness, this is a beer to be savoured for its persistent mellowness and caramelized fruity flavours. Take your time with it!",6.8,15,30,3.466667,,
243,Ename Blond,Brouwerij Roman N.V. Ename Blond,Blonde Ale - Belgian,Brouwerij Roman N.V.,,6.5,15,30,3.1,,
244,St. Idesbald Blond,Brouwerij Huyghe St. Idesbald Blond,Blonde Ale - Belgian,Brouwerij Huyghe,,6.0,15,30,3.3125,,
245,Abbaye D'Aulne Blonde Des Pères (Sur Lie) 6°,Brasserie Val De Sambre Abbaye D'Aulne Blonde Des Pères (Sur Lie) 6°,Blonde Ale - Belgian,Brasserie Val De Sambre,,6.0,15,30,3.558824,,
246,Viven Blond,Brouwerij Van Viven Viven Blond,Blonde Ale - Belgian,Brouwerij Van Viven,,6.1,15,30,3.875,,
247,Summer Belgian-Style Blonde Ale,Choc Beer Co. / Pete's Place Belgian-Style Blonde Ale,Blonde Ale - Belgian,Choc Beer Co. / Pete's Place,26 IBU,5.5,15,30,3.764706,,
248,Pater Lieven Blond,Brouwerij Van den Bossche Pater Lieven Blond,Blonde Ale - Belgian,Brouwerij Van den Bossche,,6.5,15,30,3.5,,
249,Troegenator,Tröegs Brewing Company Troegenator Double Bock,Bock - Doppelbock,Tröegs Brewing Company,"Monks had fasting figured out. No food? No problem. Just drink a Double Bock. Thick and chewy with intense notes of caramel, chocolate and dried stone fruit, ‘Nator (as we call him) serves as a tribute to this liquid bread style.",8.2,17,27,3.904709,,
250,Spaten Optimator,Spaten-Franziskaner-Bräu Spaten Optimator,Bock - Doppelbock,Spaten-Franziskaner-Bräu,,7.6,17,27,3.894566,,
251,Salvator,Paulaner Brauerei GmbH & Co. KG Salvator Doppel Bock,Bock - Doppelbock,Paulaner Brauerei GmbH & Co. KG,"This unfiltered bottom fermented double bock beer has been brewed for over 375 years--always adhering to the original recipe. The taste is unmistakable, with its smooth chocolate flavor, robust dark caramel maltiness and a light note of hops--providing a nice intensity on the palate.",7.9,17,27,3.888707,,
252,Korbinian,Bayerische Staatsbrauerei Weihenstephan Weihenstephaner Korbinian,Bock - Doppelbock,Bayerische Staatsbrauerei Weihenstephan,"Our Korbinian, the full-bodied, dark Doppelbock with light brown foam, wins beer-lovers over with a balance of fruity hints of plums and figs, a dark malt aroma - reminiscent of toffee, nuts and chocolate. Its roasted flavour goes well with smoked meat and fish as well as venison and poultry. Brewed according to our centuries-old brewing tradition on the Weihenstephan hill.",7.4,17,27,4.170539,,
253,Samichlaus Classic Bier,Brauerei Schloss Eggenberg Samichlaus Bier,Bock - Doppelbock,Brauerei Schloss Eggenberg,"The once strongest beer in the world is back! Brewed only once a year on December 6. Samichlaus is aged for 10 months before bottling. This beer is perhaps the rarest in the world. Samichlaus may be aged for many years to come. Older vintages become more complex with a creamy warming finish. Serve with hardy robust dishes and desserts, particulary with chocolates, or as an after dinner drink by itself. Brewed under the exclusive licence of Feldschlösschen-Hürlimann-Holding, Switzerland.",14.0,17,27,3.651302,,
254,Samuel Adams Double Bock (Imperial Series)Boston Beer Company (Samuel Adams),Boston Beer Company (Samuel Adams) Samuel Adams Double Bock (Imperial Series),Bock - Doppelbock,Boston Beer Company (Samuel Adams),,9.5,17,27,3.823502,,
255,Andechser Doppelbock Dunkel,Klosterbrauerei Andechs Andechser Doppelbock Dunkel,Bock - Doppelbock,Klosterbrauerei Andechs,"This world famous bock from Bavaria’s Holy Mountain is not meant to be rushed, but savoured slowly. As solid as a rock, Andechser Doppelbock Dunkel presides over the evening meal with a colour reminiscent of dark copper with nuances of fiery red. Its clear gleaming look harmonises with its firm, fine pored head.Also the aroma delights the connoisseur: soft roasted accents and a nuance of dried fruit carrying a vein of caramel. This Doppelbock Dunkel from Bavaria’s Holy Mountain presents a pleasant effervescence. And then there’s the unmistakable flavour: mouthcoating and velvety, strong and yet pleasantly malty – a powerful, robust body. At the same time, it develops an easily recognisable sweetness, embraced in roasted cocoa and a light, bitter hoppiness.Concluding with a powerful punch, this Doppelbock departs with a lingering aftertaste of quality plain chocolate. A strong Doppelbock that embodies the centuries old Benedictine brewing tradition, sip by delicious sip.",7.1,17,27,4.432056,,
256,Perkulator Coffee Dopplebock,Dark Horse Brewing Company Dark Horse Perkulator Coffee Dopplebock,Bock - Doppelbock,Dark Horse Brewing Company,,7.0,17,27,3.705279,,
257,EKU 28,Kulmbacher Brauerei AG EKU 28,Bock - Doppelbock,Kulmbacher Brauerei AG,"A super-strong Bock, but not an Eisbock.",11.0,17,27,3.616114,,
258,Liberator Doppelbock,Thomas Hooker Brewing Company Thomas Hooker Liberator Doppelbock,Bock - Doppelbock,Thomas Hooker Brewing Company,"Hopped with German and Czech hops and fermented with Bavarian lager yeast, this traditional doppelbock blends an extensive amount of select dark malts to achieve its rich and creamy character. Rich and filling, this brew is a malt lovers dream.24 IBU",8.5,17,27,4.230019,,
259,Smuttynose S'muttonator (Heritage Series),Smuttynose Brewing Company Smuttynose S'muttonator (Big Beer Series),Bock - Doppelbock,Smuttynose Brewing Company,"Formerly Smuttynose S'muttonator (Big Beer Series)S’Muttonator Double Bock displays the characteristically full malt flavor that can only come from using the best German specialty malts, and a traditional decoction mashing technique. The extra effort also adds a lot of extra time to each batch, but that’s the only way to get the nuttiness, toffee notes and smooth character beer drinkers expect from a double bock. 2007 - 9.8%2008 - 8.8%2010 - 9.5%",8.2,17,27,3.96345,,
260,Butthead Doppelbock,Tommyknocker Brewery Butthead Doppelbock,Bock - Doppelbock,Tommyknocker Brewery,,8.2,17,27,3.580601,,
261,Autumnal Fire,Capital Brewery Autumnal Fire,Bock - Doppelbock,Capital Brewery,"With a deep copper hue and rich malty flavor this renowned doppelbock warms like burning embers of a mid-autumn fire as the nights grow cooler. You may be tempted to share, but keep this Fire for yourself. It’s that good!",7.8,17,27,4.144654,,
262,Weltenburger Kloster Asam-Bock,Klosterbrauerei Weltenburg Weltenburger Kloster Asam-Bock,Bock - Doppelbock,Klosterbrauerei Weltenburg,"The Weltenburger Asam Bock owes its name to the ingenious, baroque painter and master builder Cosmas Damian Asam. The malt-stressed goat exudes light roasted aromas that give a hint of coffee. Friends and connoisseurs appreciate it especially for its strong-sweet, very aromatic and persistent taste until the finish. With its 6.9% alcohol content, it is the strongest beer from the Weltenburger family.",6.9,17,27,4.091255,,
263,Wasatch The Devastator Double Bock,Utah Brewers Cooperative Wasatch Devastator Double Bock,Bock - Doppelbock,Utah Brewers Cooperative,"If you're going to sin, sin big. With 8% alc/vol and a creamy richness, this brew has developed a serious cult following. Imagine that - a cult following in Utah?!",8.0,17,27,3.643836,,
264,St. Victorious,Victory Brewing Company St. Victorious,Bock - Doppelbock,Victory Brewing Company,Limited seasonal draft only release. Doppelbock brewed w/ smoked 2-row German malt from Bamberg.,7.6,17,27,4.039683,,
265,Urbock 23°,Brauerei Schloss Eggenberg Urbock 23°,Bock - Doppelbock,Brauerei Schloss Eggenberg,,9.6,17,27,3.389493,,
266,Voodoovator,Atwater Block Brewery Atwater Voodoovator,Bock - Doppelbock,Atwater Block Brewery,,9.5,17,27,3.407303,,
267,Saxonator Dunkles Doppelbock,Jack's Abby Brewing Saxonator Dunkles Doppelbock,Bock - Doppelbock,Jack's Abby Brewing,"A dark strong interpretation of a double bock. Full bodied with a raisiny, dark fruit, slightly roasted and chewy malt character. Lagered for two months, a smooth malt character balances the high ABV of this strong beer.25 IBU",8.5,17,27,4.333333,,
268,Doppel-Hirsch,Der HirschBrau/Privatbrauerei Höss Doppel-Hirsch,Bock - Doppelbock,Der HirschBrau/Privatbrauerei Höss,,7.2,17,27,3.766827,,
